family,seed,config,outcome,success,collided,reached,time_to_goal,path_length,min_clearance,steps,alpha_max,alpha_escape_frac,slack_max,slack_mean,cbf_active_steps,entrapped_frac,n_obstacles,n_dynamic,feasible
clutter,32,C_escape,SUCCESS,1,0,1,29.0,7.1734,0.292,290,2.0,0.0,0.0,0.0,0,0.128,9,0,1
clutter,32,D_cbf,TIMEOUT,0,0,0,40.1,4.2956,0.3125,401,2.0,0.0,0.0,0.0,400,0.0,9,0,1
clutter,32,E_indep,SUCCESS,1,0,1,29.0,7.144,0.2922,290,2.0,0.0,0.0,0.0,289,0.128,9,0,1
clutter,32,F_full,SUCCESS,1,0,1,29.0,7.144,0.2922,290,6.0,0.128,0.0,0.0,289,0.128,9,0,1
clutter,32,Fminus_nogap,TIMEOUT,0,0,0,40.1,4.3114,0.3141,401,6.0,0.57,0.0,0.0,400,0.57,9,0,1
utrap,31,A_stock,TIMEOUT,0,0,0,40.1,3.4074,0.3318,401,2.0,0.0,0.0,0.0,0,0.0,11,0,1
utrap,31,C_escape,SUCCESS,1,0,1,28.8,9.0897,0.3327,288,2.0,0.0,0.0,0.0,0,0.3798,11,0,1
utrap,31,D_cbf,TIMEOUT,0,0,0,40.1,3.4074,0.3318,401,2.0,0.0,0.0,0.0,400,0.0,11,0,1
utrap,31,E_indep,SUCCESS,1,0,1,28.8,9.0897,0.3327,288,2.0,0.0,0.0,0.0,287,0.3798,11,0,1
utrap,31,F_full,SUCCESS,1,0,1,28.8,9.0897,0.3327,288,6.0,0.3798,0.0,0.0,287,0.3798,11,0,1
utrap,31,Fminus_nogap,TIMEOUT,0,0,0,40.1,3.4412,0.3295,401,6.0,0.6475,0.0,0.0,400,0.6475,11,0,1
clutter,30,A_stock,TIMEOUT,0,0,0,40.1,2.9541,0.3398,401,2.0,0.0,0.0,0.0,0,0.0,9,0,1
clutter,30,C_escape,TIMEOUT,0,0,0,40.1,2.9357,0.3499,401,2.0,0.0,0.0,0.0,0,0.705,9,0,1
clutter,30,D_cbf,TIMEOUT,0,0,0,40.1,2.9541,0.3398,401,2.0,0.0,0.0,0.0,400,0.0,9,0,1
clutter,30,E_indep,TIMEOUT,0,0,0,40.1,2.9357,0.3499,401,2.0,0.0,0.0,0.0,400,0.705,9,0,1
clutter,30,F_full,TIMEOUT,0,0,0,40.1,2.9357,0.3499,401,6.0,0.705,0.0,0.0,400,0.705,9,0,1
clutter,30,Fminus_nogap,TIMEOUT,0,0,0,40.1,2.9304,0.3477,401,6.0,0.7075,0.0,0.0,400,0.7075,9,0,1
dynamic,33,A_stock,SUCCESS,1,0,1,22.8,8.3687,0.0982,228,2.0,0.0,0.0,0.0,0,0.0,3,1,1
dynamic,33,C_escape,SUCCESS,1,0,1,22.1,8.1463,0.0982,221,2.0,0.0,0.0,0.0,0,0.2091,3,1,1
dynamic,33,D_cbf,SUCCESS,1,0,1,24.3,9.002,0.1571,243,2.0,0.0,0.000189,2e-06,242,0.0,3,1,1
dynamic,33,E_indep,SUCCESS,1,0,1,26.7,8.1387,0.1571,267,2.0,0.0,0.002727,1.9e-05,266,0.1729,3,1,1
dynamic,33,F_full,SUCCESS,1,0,1,26.7,8.1039,0.1571,267,6.0,0.1729,0.000189,2e-06,266,0.1729,3,1,1
dynamic,33,Fminus_nogap,SUCCESS,1,0,1,24.1,8.9265,0.1571,241,6.0,0.2792,0.000189,2e-06,240,0.2792,3,1,1
utrap,32,A_stock,TIMEOUT,0,0,0,40.1,3.2311,0.3189,401,2.0,0.0,0.0,0.0,0,0.0,11,0,1
utrap,32,C_escape,SUCCESS,1,0,1,31.2,7.4253,0.3177,312,2.0,0.0,0.0,0.0,0,0.2637,11,0,1
utrap,32,D_cbf,TIMEOUT,0,0,0,40.1,3.2301,0.3189,401,2.0,0.0,0.0,0.0,400,0.0,11,0,1
utrap,32,E_indep,SUCCESS,1,0,1,31.2,7.4249,0.3177,312,2.0,0.0,0.0,0.0,311,0.2637,11,0,1
utrap,32,F_full,SUCCESS,1,0,1,31.2,7.4249,0.3177,312,6.0,0.2637,0.0,0.0,311,0.2637,11,0,1
utrap,32,Fminus_nogap,TIMEOUT,0,0,0,40.1,3.3311,0.3193,401,6.0,0.6725,0.0,0.0,400,0.6725,11,0,1
